Fecha,temp_min,temp_max,temp_avg,Year,Month,date,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,temp_min_log,temp_max_log,temp_avg_log,timeIndex
1918-05,6.941935483870967,16.60967741935484,11.775806451612903,1918,5,1918-05-01,0,0,0,1,0,0,0,0,0,0,0,1.937580623802483,2.8099855025669496,2.4660471260169485,112
1918-06,5.923333333333333,12.95,9.436666666666666,1918,6,1918-06-01,0,0,0,0,1,0,0,0,0,0,0,1.7788993534984503,2.5610957881455465,2.2446028104556985,113
1918-07,4.161290322580645,14.935483870967742,9.548387096774194,1918,7,1918-07-01,0,0,0,0,0,1,0,0,0,0,0,1.425825199876526,2.703739849601088,2.2563722498389143,114
1918-08,4.774193548387097,16.42258064516129,10.598387096774193,1918,8,1918-08-01,0,0,0,0,0,0,1,0,0,0,0,1.5632250692789689,2.798657256423144,2.3607018288587307,115
1918-09,7.416666666666667,16.31,11.863333333333333,1918,9,1918-09-01,0,0,0,0,0,0,0,1,0,0,0,2.0037297199441397,2.7917784166329223,2.4734524108539917,116
1918-10,10.112903225806452,20.425806451612903,15.269354838709678,1918,10,1918-10-01,0,0,0,0,0,0,0,0,1,0,0,2.3138121555878293,3.016799123521711,2.725847868089754,117
1918-11,14.69,24.779999999999998,19.735,1918,11,1918-11-01,0,0,0,0,0,0,0,0,0,1,0,2.6871669901857858,3.2100368762009963,2.9823937091148105,118
1918-12,16.57741935483871,27.0258064516129,21.801612903225806,1918,12,1918-12-01,0,0,0,0,0,0,0,0,0,0,1,2.808041489513038,3.2967922040277884,3.0819839534446904,119
1919-01,18.98709677419355,30.480645161290322,24.733870967741936,1919,1,1919-01-01,0,0,0,0,0,0,0,0,0,0,0,2.9437596313142262,3.417091897303434,3.2081735985092146,120
1919-02,16.9,28.103571428571428,22.501785714285713,1919,2,1919-02-01,1,0,0,0,0,0,0,0,0,0,0,2.8273136219290276,3.3358966653657336,3.1135946711404983,121
1919-03,17.141935483870967,25.616129032258065,21.379032258064516,1919,3,1919-03-01,0,1,0,0,0,0,0,0,0,0,0,2.841527828840567,3.243222193416019,3.062410640683989,122
1919-04,12.68,22.61,17.645,1919,4,1919-04-01,0,0,1,0,0,0,0,0,0,0,0,2.5400259490090797,3.1183922862898785,2.870452457127233,123
1919-05,12.77741935483871,20.193548387096776,16.48548387096774,1919,5,1919-05-01,0,0,0,1,0,0,0,0,0,0,0,2.5476795001427246,3.0053631666149525,2.802480228289939,124
1919-06,6.3,14.31,10.305,1919,6,1919-06-01,0,0,0,0,1,0,0,0,0,0,0,1.840549633397487,2.6609585935683597,2.3326292143424223,125
1919-07,7.04516129032258,14.238709677419354,10.641935483870967,1919,7,1919-07-01,0,0,0,0,0,1,0,0,0,0,0,1.9523410393856038,2.65596428933749,2.3648023737493893,126
1919-08,4.367741935483871,15.174193548387096,9.770967741935484,1919,8,1919-08-01,0,0,0,0,0,0,1,0,0,0,0,1.4742461559930284,2.719596192099271,2.2794155135480456,127
1919-09,7.923333333333333,16.733333333333334,12.328333333333333,1919,9,1919-09-01,0,0,0,0,0,0,0,1,0,0,0,2.069811992703993,2.817402738029574,2.5119001363717213,128
1919-10,9.803225806451612,20.48709677419355,15.14516129032258,1919,10,1919-10-01,0,0,0,0,0,0,0,0,1,0,0,2.282711495437601,3.019795262323783,2.7176810941631713,129
1919-11,11.636666666666667,23.776666666666664,17.706666666666663,1919,11,1919-11-01,0,0,0,0,0,0,0,0,0,1,0,2.4541610324488348,3.168704707621837,2.8739412165000684,130
1919-12,16.038709677419355,27.370967741935484,21.704838709677418,1919,12,1919-12-01,0,0,0,0,0,0,0,0,0,0,1,2.7750051551514097,3.309482880189135,3.0775352177024042,131
1920-01,18.19677419354839,30.309677419354838,24.253225806451614,1920,1,1920-01-01,0,0,0,0,0,0,0,0,0,0,0,2.9012443362607843,3.4114670482996114,3.1885496314831827,132
